# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1433
#@/user_id	Amber_76Game_Windows
a 	啊	c=5 d=1.33539 t=1433
tian jia 	添加	c=1 d=0.242926 t=1433
ting 	挺	c=1 d=0.0127147 t=1433
tong bu 	同步	c=1 d=1 t=1433
tong guo 	通過	c=4 d=1.29706 t=1433
tong shi 	同時	c=1 d=0.0228227 t=1433
tong yang 	同樣	c=1 d=0.343009 t=1433
tou tou 	偷偷	c=1 d=0.0263839 t=1433
tu 	圖	c=2 d=0.225816 t=1433
tu pian 	圖片	c=2 d=0.0610087 t=1433
tu xing 	圖形	c=1 d=0.634448 t=1433
tui ding 	退訂	c=1 d=0.0115047 t=1433
tun xia 	吞下	c=1 d=0.0130365 t=1433
wa 	哇	c=14 d=4.37132 t=1433
wa 	襪	c=1 d=0.0490458 t=1433
wai guan 	外觀	c=2 d=0.369723 t=1433
wai mian 	外面	c=1 d=0.0142642 t=1433
wan cheng 	完成	c=2 d=0.722527 t=1433
wan de 	玩得	c=1 d=0.114178 t=1433
wan shang 	晚上	c=1 d=0.110803 t=1433
wang 	網	c=1 d=0.0488012 t=1433
wang le 	忘了	c=1 d=0.904837 t=1433
wang shang 	網上	c=1 d=0.0884781 t=1433
wei 	爲	c=1 d=0.205975 t=1433
wei bo 	微博	c=1 d=0.0267827 t=1433
wei sha 	爲啥	c=1 d=0.0475963 t=1433
wei tu 	位圖	c=1 d=0.0280154 t=1433
wei zhi 	位置	c=1 d=0.0328764 t=1433
wen 	問	c=1 d=0.923116 t=1433
wen 	穩	c=2 d=0.920487 t=1433
wen ben kuang 	文本框	c=3 d=0.171683 t=1433
